# Format: McCode with text headers
# URL: http://www.mccode.org
# Creator: McStas 2.6 - Jan. 24, 2020
# Instrument: hb3_Fahima.instr
# Ncount: 1000000000
# Trace: no
# Gravitation: no
# Seed: 1590197547
# Directory: /home/fi0/HB3A_simulation/hb3_Fahima_20200522_190210
# Param: brightness=2.3e+11
# Param: Lmin=0.1
# Param: Lmax=5
# Param: lambda=1.53
# Param: DM=1.02941
# Param: THETA_M=48
# Param: SM=1
# Param: RV=1.4
# Param: L1=6.56
# Param: TILT=0
# Date: Fri May 22 19:51:59 2020 (1590191519)
# type: array_1d(200)
# Source: HB3A (hb3_Fahima.instr)
# component: source_check_wavelength_at_main_shutter_exit
# position: -3.49061 0 3.30248
# title: Wavelength monitor
# Ncount: 1000000000
# filename: source_check_wavelength_at_main_shutter_exit.dat
# statistics: X0=1.51232; dX=0.65768;
# signal: Min=0; Max=1.87888e+08; Mean=3.34674e+07;
# values: 6.69348e+09 495280 5.34041e+08
# xvar: L
# yvar: (I,I_err)
# xlabel: Wavelength [AA]
# ylabel: Intensity
# xlimits: 0 6
# variables: L I I_err N
0.015 0 0 0 
0.045 0 0 0 
0.075 0 0 0 
0.105 1.337712118e-80 5.392235263e-83 2178766 
0.135 1.156898366e-47 3.333766016e-50 3271366 
0.165 8.068309806e-30 1.763180519e-32 3271604 
0.195 4.22476449e-19 7.327272246e-22 3272404 
0.225 3.566487153e-12 5.070935432e-15 3267899 
0.255 1.911913835e-07 2.275964931e-10 3265498 
0.285 0.0004429912061 4.499966247e-07 3268314 
0.315 0.1324288235 0.0001167820255 3273870 
0.345 9.709438468 0.00759355994 3271243 
0.375 264.9799653 0.187921419 3268065 
0.405 3511.283863 2.309825619 3268744 
0.435 27114.61399 16.89386344 3267188 
0.465 139033.9294 83.37180215 3268909 
0.495 519574.6414 303.4999915 3270375 
0.525 1516410.282 870.1428049 3272059 
0.555 3629283.55 2060.803271 3263270 
0.585 7469070.534 4202.755044 3270427 
0.615 13508706.52 7564.654103 3266383 
0.645 22137695.67 12338.08168 3273081 
0.675 33265854.41 18502.97933 3269534 
0.705 46740198.83 25938.82546 3272816 
0.735 61940137.36 34334.40082 3272359 
